Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19750579,24427729,29470426,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867
"Population, total",SP.POP.TOTL,Vietnam,VNM,66912613,79001142,89301326,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108642,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,13375121,18628700,26223391,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641
"Population, total",SP.POP.TOTL,Zambia,ZMB,7686401,9891136,14744658,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10113893,11834676,13265331,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,309890664,401600588,552530654,567891875,583650827,600008150,616377331,632746296,649756874,667242712,685112705,702976832
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,206739024,269611898,376797999,387204553,397855507,408690375,419778384,431138704,442646825,454306063,466189102,478185907
"Population, total",SP.POP.TOTL,Arab World,ARB,225923327,287065982,380383408,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,6057836,6582141,7088996,7135884,7181044,7224602,7265272,7303634,7374650,7424102,7444768,7481877
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110743128,108447824,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398537,102180124,101430997
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2041043553,2499206970,3035261244,3078835706,3122586392,3166642585,3210110979,3252529883,3294298709,3335463995,3375134276,3411889059
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1818247576,2048148696,2243776727,2261274500,2278232287,2294507020,2310721864,2327134580,2341387076,2353862247,2363940425,2370204347
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1601285150,1817064785,2001317846,2018121456,2034317097,2049809214,2065223450,2080968782,2094573278,2106439246,2116424876,2123673456
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1580447407,1793649873,1976386829,1993077336,2009149689,2024511016,2039794828,2055414680,2068898629,2080648616,2090523535,2097669023
"Population, total",SP.POP.TOTL,Euro area,EMU,311093477,321324622,336183135,337328817,338486932,339514675,340509447,341246081,342065158,342452734,342913447,343067846
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,842030509,862786211,894762079,899035925,903601049,908123143,912374705,915855416,918782553,921179725,923103879,923777214
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,361859039,370646199,383476086,386051693,388842371,391695432,394321096,396482489,398076771,399592320,400811771,401575218
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,427949024,435816101,445864843,448331271,451001474,453701064,456167799,458170561,459613334,460994696,462023771,462341222
